Series,Cluster
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021531939,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021312260,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000574715302,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938851618,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375591475,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938852339,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020738217,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001145788585,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022320983,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001130893860,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737865,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020738219,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938679572,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021372217,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021220563,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000574694809,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000023042533,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377116619,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021840479,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736591,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000938767765,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736590,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151828875,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021372216,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021214390,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001576200543,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736986,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021408535,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737087,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021292299,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021296941,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022368119,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000577008708,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021576191,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020967728,Cluster 0
