,Series
0,machine_001375591476
1,machine_000574996032
2,machine_000021116081
3,machine_000020736891
4,machine_001375374317
5,machine_000021141564
6,machine_000020737111
7,machine_000938819669
8,machine_000021219864
9,machine_000938607467
10,machine_000021372226
11,machine_000151857495
12,machine_000021296092
13,machine_000027331866
14,machine_000021571429
15,machine_001145704571
16,machine_000021472849
17,machine_000021214389
18,machine_000021214367
19,machine_000021249460
20,machine_000021389244
21,machine_000151934084
22,machine_001377328836
23,machine_000020733612
24,machine_000151821664
25,machine_000020736964
26,machine_001187365219
27,machine_001375620985
28,machine_000151836004
29,machine_001375493314
30,machine_000020747579
31,machine_000939040529
32,machine_000062155202
33,machine_000020733606
34,machine_000021247434
35,machine_001185558545
36,machine_000020736971
37,machine_001146037470
38,machine_000021375645
39,machine_000021375453
40,machine_000062157278
41,machine_001420160333
42,machine_000021307874
43,machine_000020736961
44,machine_001146007982
45,machine_001376305243
46,machine_000021219860
47,machine_000020736949
48,machine_000021840480
49,machine_000021412983
50,machine_001375620984
51,machine_000020737100
52,machine_000939969191
53,machine_000035521752
54,machine_000022620985
55,machine_000021116084
56,machine_000572386387
57,machine_000021372222
58,machine_000023028313
59,machine_000020935939
60,machine_001574836522
61,machine_000020736592
62,machine_001375591473
63,machine_000151828873
64,machine_001185553548
65,machine_001375475629
66,machine_001578186404
67,machine_000021464554
68,machine_000151848238
69,machine_000021389240
70,machine_000151932048
71,machine_000021284870
72,machine_000020737027
73,machine_000020741520
74,machine_000021243993
75,machine_001375480619
76,machine_001376335592
77,machine_000021306000
78,machine_001375637387
79,machine_001375391573
80,machine_000939045173
81,machine_001129215019
82,machine_000021304766
83,machine_001377327251
84,machine_000494897526
85,machine_000021464555
86,machine_000021389245
87,machine_001129983118
88,machine_000151919971
89,machine_000022477068
90,machine_001377105703
91,machine_000573737280
92,machine_000022099596
93,machine_000693922407
94,machine_001131204324
95,machine_000062158201
96,machine_000021205161
97,machine_000021387324
98,machine_001461489032
99,machine_001129983874
100,machine_001144531543
101,machine_000022493661
102,machine_000036932631
103,machine_000021452223
104,machine_001378093372
105,machine_000938906598
106,machine_000020738115
107,machine_000020736642
108,machine_000062157273
109,machine_000022321211
110,machine_000021575988
111,machine_000022480872
112,machine_000095570998
113,machine_000151849088
114,machine_000021375454
115,machine_000020741481
116,machine_000151919870
117,machine_000151951111
118,machine_000020736939
119,machine_001376335590
120,machine_000938985218
121,machine_000253033261
122,machine_001578283563
123,machine_000020946831
124,machine_001375389357
125,machine_000021412015
126,machine_001576142850
127,machine_000151923540
128,machine_000572767334
129,machine_000573576861
130,machine_001129183387
131,machine_000021178098
132,machine_000021387322
133,machine_001377116620
134,machine_000038610113
135,machine_000151918120
136,machine_000020739356
137,machine_001494345312
138,machine_000022509937
139,machine_000939046114
140,machine_000021561855
141,machine_000020851720
142,machine_000020967706
143,machine_000022265819
144,machine_000021129751
145,machine_000021307873
146,machine_000573088853
147,machine_000021214388
148,machine_000021179504
149,machine_000021428753
150,machine_000021560059
