round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,batch_size,conv_activation,conv_dim,conv_kernel,decay,dense_kernel_init,epochs,first_dense_activation,first_dense_dim,lr,lstm_dim,mlp_units,momentum,optimizer,patience
60,0.6295450925827026,0.13600319623947144,0.27430427074432373,0.23271653056144714,0.1461639553308487,0.283176451921463,128,tanh,[128],7,0.0001,he_normal,2000,<function relu at 0x7f4e9ec429e0>,16,1e-05,[16],[32, 16],0.99,rmsprop,50
64,0.749891459941864,0.15412765741348267,0.2910579741001129,0.521467387676239,0.1714767962694168,0.30545979738235474,256,relu,[128],11,0.0001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,32,0.001,[64],[64, 32],0.99,rmsprop,50
59,0.3532046675682068,0.1145680844783783,0.25265783071517944,0.20000672340393066,0.12052900344133377,0.2587290406227112,128,tanh,[64],13,0.001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,64,0.001,[16],[16, 16],0.9,adam,50
61,0.8341297507286072,0.15365147590637207,0.292707234621048,0.5825905799865723,0.16428092122077942,0.30175212025642395,128,tanh,[32],13,0.001,he_normal,2000,<function relu at 0x7f4e9ec429e0>,16,0.0001,[16],[16, 16],0.99,adam,50
59,0.3088398277759552,0.10861218720674515,0.24588774144649506,0.4211859107017517,0.10204801708459854,0.2397308200597763,512,tanh,[128],13,1e-05,he_normal,2000,<function relu at 0x7f4e9ec429e0>,8,0.0001,[64],[64, 64],0.9,rmsprop,50
62,-0.22175198793411255,0.10547330975532532,0.2237456738948822,-0.40764328837394714,0.11658865958452225,0.23512858152389526,512,relu,[64],7,0.0001,he_normal,2000,<function relu at 0x7f4e9ec429e0>,32,1e-05,[64],[32, 32],0.99,rmsprop,50
64,0.6344804167747498,0.14775054156780243,0.28453442454338074,0.324850857257843,0.17193523049354553,0.30482929944992065,1024,tanh,[16],7,0.001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,16,0.0001,[64],[32, 16],0.99,rmsprop,50
64,0.5647406578063965,0.12551935017108917,0.2677658498287201,0.33486610651016235,0.14166975021362305,0.28290900588035583,512,tanh,[16],5,0.0001,he_normal,2000,<function relu at 0x7f4e9ec429e0>,32,1e-05,[32],[32, 32],0.99,adam,50
60,0.891975998878479,0.1648578643798828,0.3032461404800415,1.0605437755584717,0.14897455275058746,0.29007023572921753,128,relu,[128],13,1e-05,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,32,1e-05,[128],[64, 64],0.9,rmsprop,50
62,0.6822950839996338,0.14009609818458557,0.28000861406326294,0.5373424291610718,0.1484527885913849,0.2880719304084778,128,relu,[16],3,0.001,he_normal,2000,<function relu at 0x7f4e9ec429e0>,32,1e-05,[128],[16, 16],0.9,adam,50
60,0.9982598423957825,0.16240744292736053,0.3022117018699646,0.9269379377365112,0.1550671011209488,0.29654231667518616,512,tanh,[64],11,0.0001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,8,0.01,[128],[64, 64],0.99,rmsprop,50
60,0.6831035614013672,0.14015865325927734,0.28102296590805054,0.6145769357681274,0.1536240577697754,0.2946534752845764,1024,relu,[64],3,1e-05,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,32,0.001,[16],[64, 32],0.9,rmsprop,50
60,0.4627288281917572,0.1341792792081833,0.2712229788303375,0.39717382192611694,0.15192309021949768,0.2873329818248749,512,tanh,[64],7,0.0001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,8,0.0001,[16],[16, 16],0.99,adam,50
60,1.000362753868103,0.18507198989391327,0.3210470378398895,1.1094366312026978,0.20656442642211914,0.33771970868110657,256,tanh,[32],13,1e-05,he_normal,2000,<function relu at 0x7f4e9ec429e0>,64,1e-05,[32],[32, 32],0.9,adam,50
65,0.5016604065895081,0.12578865885734558,0.26239120960235596,0.7916590571403503,0.12107039988040924,0.2595007121562958,1024,tanh,[32],3,1e-05,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,32,0.001,[128],[32, 32],0.99,adam,50
64,0.7317819595336914,0.14750446379184723,0.2894366681575775,1.2225260734558105,0.14055460691452026,0.28581303358078003,256,relu,[128],11,0.0001,he_normal,2000,<function relu at 0x7f4e9ec429e0>,16,0.0001,[64],[64, 32],0.99,adam,50
59,-0.2162833958864212,0.10247205942869186,0.22260484099388123,0.0003869447100441903,0.0942346379160881,0.21507906913757324,1024,tanh,[64],7,0.001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,32,1e-05,[64],[32, 32],0.99,rmsprop,50
65,0.5258923768997192,0.12651650607585907,0.26777368783950806,0.7569413185119629,0.11186329275369644,0.2549453675746918,128,relu,[64],11,1e-05,he_normal,2000,<function relu at 0x7f4e9ec429e0>,32,0.01,[64],[16, 16],0.99,adam,50
60,-0.33210116624832153,0.08375297486782074,0.20509088039398193,-0.5233575701713562,0.08466216921806335,0.20508620142936707,1024,tanh,[16],13,0.0001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,32,0.0001,[32],[16, 16],0.99,adam,50
63,0.06220583990216255,0.10779032111167908,0.2379974126815796,-0.026782963424921036,0.12709780037403107,0.2561250925064087,128,relu,[16],3,0.001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,64,0.0001,[64],[64, 32],0.9,rmsprop,50
57,0.3140348494052887,0.11873389035463333,0.2548832893371582,0.5937073230743408,0.11491306126117706,0.2513289451599121,512,relu,[16],7,1e-05,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,64,1e-05,[16],[32, 16],0.9,adam,50
60,0.47169527411460876,0.12017206102609634,0.2573716342449188,0.4312143325805664,0.12733709812164307,0.2639141380786896,1024,tanh,[64],13,0.001,glorot_uniform,2000,<function relu at 0x7f4e9ec429e0>,8,0.01,[16],[32, 32],0.99,adam,50
